eval_id,eval_name,stage,tier,condition,routing_complete,n_required_refs,n_optional_refs,has_required_refs,required_ref_recall_old,required_ref_recall_new,required_ref_recall_delta,unexpected_ref_count_old,unexpected_ref_count_new,unexpected_ref_count_delta,n_required_scripts,n_optional_scripts,has_required_scripts,required_script_recall_old,required_script_recall_new,required_script_recall_delta,unexpected_script_count_old,unexpected_script_count_new,unexpected_script_count_delta
105,camera-devices-lookup,pipeline-usage,atomic-read,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
106,compound-pfc-wtrack,pipeline-usage,compound,with_skill,true,3,0,true,0.6667,0.3333,-0.3334,1,1,0,0,0,false,0.0,0.0,0.0,0,1,1
106,compound-pfc-wtrack,pipeline-usage,compound,without_skill,true,3,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
107,compound-sorted-spikes-across-sort-groups,pipeline-authoring,compound,with_skill,true,2,2,true,1.0,1.0,0.0,1,1,0,1,0,true,0.0,0.0,0.0,0,0,0
107,compound-sorted-spikes-across-sort-groups,pipeline-authoring,compound,without_skill,true,2,2,true,0.0,0.0,0.0,0,0,0,1,0,true,0.0,0.0,0.0,0,0,0
108,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,with_skill,true,3,2,true,0.6667,0.6667,0.0,1,1,0,1,0,true,0.0,0.0,0.0,0,0,0
108,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,without_skill,true,3,2,true,0.0,0.0,0.0,0,0,0,1,0,true,0.0,0.0,0.0,0,0,0
113,adversarial-update1-downstream-populated,destructive-operations,adversarial,with_skill,true,2,0,true,1.0,1.0,0.0,1,1,0,0,0,false,0.0,0.0,0.0,0,0,0
113,adversarial-update1-downstream-populated,destructive-operations,adversarial,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
118,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,with_skill,true,2,0,true,0.5,1.0,0.5,2,1,-1,0,0,false,0.0,0.0,0.0,1,0,-1
118,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
