eval_id,batch,eval_name,stage,tier,difficulty,outcome,ws_expectation_rate,bs_expectation_rate,delta_expectation_pp,routing_observed,extra_tokens_known,extra_tokens,missed_required_refs,missed_required_scripts,likely_action
124,1,key-hygiene-singular-plural-typo,hallucination-resistance,schema-introspection,easy,both_pass,100.0,100.0,0.0,1,1,17503,datajoint_api.md;position_trodes_v1_pipeline.md,,
125,1,key-hygiene-blob-key-not-heading,parameter-understanding,parameter-semantics,medium,skill_only,100.0,83.3,16.7,1,1,7217,common_mistakes.md;feedback_loops.md,,
126,1,key-hygiene-merge-master-silent-no-op,common-mistakes,merge-table-gotchas,medium,skill_only,100.0,83.3,16.7,1,1,15727,common_mistakes.md,,
127,1,key-hygiene-partial-populate-scope,pipeline-usage,disambiguation,medium,both_pass,100.0,100.0,0.0,1,1,11012,destructive_operations.md,,
128,1,key-hygiene-v0-v1-cross-version,hallucination-resistance,disambiguation,medium,both_pass,100.0,100.0,0.0,1,1,5245,feedback_loops.md;spikesorting_v0_legacy.md;spikesorting_v1_pipeline.md,,
129,1,key-hygiene-custom-table-runtime-only,hallucination-resistance,schema-introspection,medium,both_pass,100.0,100.0,0.0,1,1,18483,merge_methods.md,db_graph.py,
130,1,key-hygiene-discovery-before-fetch,pipeline-usage,disambiguation,easy,skill_only,100.0,0.0,100.0,1,1,20980,datajoint_api.md,,
7,2,framework-concepts-merge-tables,framework-concepts,table-classification,medium,both_pass,100.0,100.0,0.0,1,1,16514,,,
21,2,adversarial-hallucination-resistance,hallucination-resistance,adversarial,easy,both_pass,100.0,100.0,0.0,1,1,13513,spikesorting_v1_pipeline.md,,
73,2,schema-pk-electrode,framework-concepts,schema-introspection,easy,both_pass,100.0,100.0,0.0,1,1,10248,,,
74,2,schema-pk-firfilterparameters,framework-concepts,schema-introspection,easy,both_pass,100.0,100.0,0.0,1,1,6194,common_tables.md;lfp_pipeline.md,,
75,2,schema-dep-probe-electrode,framework-concepts,schema-introspection,easy,both_pass,100.0,100.0,0.0,1,1,15671,,,
76,2,schema-dep-lfp-filter,framework-concepts,schema-introspection,easy,both_pass,100.0,100.0,0.0,1,1,7889,common_tables.md;lfp_pipeline.md,,
77,2,schema-part-tables-probe,framework-concepts,schema-introspection,easy,both_pass,100.0,100.0,0.0,1,1,10053,common_tables.md;datajoint_api.md,,
78,2,abstain-session-samplingrate,hallucination-resistance,adversarial,medium,both_pass,100.0,100.0,0.0,1,1,7946,common_tables.md;datajoint_api.md,,
79,2,abstain-spyglassmixin-get-pk,hallucination-resistance,adversarial,easy,skill_only,100.0,66.7,33.3,1,1,12525,,,
80,2,abstain-ripple-direct-dependency,hallucination-resistance,adversarial,medium,skill_only,100.0,90.9,9.1,1,1,18583,lfp_pipeline.md;ripple_pipeline.md,,
81,2,abstain-v1-naming-extrapolation,hallucination-resistance,adversarial,medium,skill_only,100.0,37.5,62.5,1,1,20044,,code_graph.py,
96,2,dependency-downstream-decoding-output,framework-concepts,dependency-tracing,hard,both_pass,100.0,100.0,0.0,1,1,17681,,,
97,2,dependency-abstract-upstream,framework-concepts,dependency-tracing,medium,both_pass,100.0,100.0,0.0,1,1,16984,,,
109,2,group-tables-concept,framework-concepts,table-classification,medium,both_pass,100.0,100.0,0.0,1,1,14060,custom_pipeline_authoring.md,,
115,2,adversarial-monkeypatch-make,hallucination-resistance,adversarial,hard,both_pass,100.0,100.0,0.0,1,1,18669,lfp_pipeline.md,,
122,2,hallucination-fetch-nwb-single,hallucination-resistance,adversarial,easy,both_pass,100.0,100.0,0.0,1,1,11296,common_mistakes.md,,
123,2,hallucination-spyglass-compact,hallucination-resistance,adversarial,medium,both_pass,100.0,100.0,0.0,1,1,14518,spyglassmixin_methods.md,,
6,3,run-lfp-v1-pipeline,pipeline-usage,baseline,medium,both_pass,100.0,100.0,0.0,1,0,0,,,
9,3,atomic-fetch-session-row,pipeline-usage,atomic-read,easy,both_pass,100.0,100.0,0.0,1,1,7733,,,
10,3,atomic-fetch-session-attributes,pipeline-usage,atomic-read,easy,both_pass,100.0,100.0,0.0,1,1,6814,common_tables.md,,
11,3,atomic-list-intervals-for-session,pipeline-usage,atomic-read,easy,both_pass,100.0,100.0,0.0,1,1,9445,,,
12,3,atomic-count-electrodes,pipeline-usage,atomic-read,easy,both_pass,100.0,100.0,0.0,1,1,8875,,,
13,3,atomic-trodes-position-dataframe,pipeline-usage,atomic-read,medium,both_pass,100.0,100.0,0.0,1,1,12032,merge_methods.md,,
17,3,join-sessions-with-ripples-and-decoding,pipeline-usage,joins,medium,both_pass,100.0,100.0,0.0,1,0,0,decoding_pipeline.md;ripple_pipeline.md,,
18,3,join-sessions-trodes-but-no-dlc,pipeline-usage,joins,medium,both_pass,100.0,100.0,0.0,1,0,0,datajoint_api.md,,
19,3,count-tetrodes-per-session,pipeline-usage,joins,easy,both_pass,100.0,100.0,0.0,1,1,18511,,,
26,3,compound-full-session-pipeline,pipeline-usage,compound,hard,both_pass,100.0,100.0,0.0,1,0,0,,,
28,3,brain-region-for-curated-sorting,pipeline-usage,joins,medium,both_pass,100.0,100.0,0.0,1,0,0,common_tables.md,code_graph.py,
29,3,brain-region-for-lfp-electrode,pipeline-usage,joins,medium,both_pass,100.0,100.0,0.0,1,1,13148,datajoint_api.md,,
62,3,disamb-trodes-vs-dlc,pipeline-usage,disambiguation,medium,both_pass,100.0,100.0,0.0,1,0,0,,,
63,3,disamb-lfpselection-vs-electrodegroup,pipeline-usage,disambiguation,medium,both_pass,100.0,100.0,0.0,1,0,0,,,
64,3,disamb-spikesortingv0-vs-v1,pipeline-usage,disambiguation,easy,both_pass,100.0,100.0,0.0,1,0,0,,,
67,3,counterfactual-ripple-electrode-set,pipeline-usage,counterfactual,hard,both_pass,100.0,100.0,0.0,1,0,0,destructive_operations.md,,
68,3,counterfactual-two-users-empty,pipeline-usage,counterfactual,hard,both_pass,100.0,100.0,0.0,1,0,0,common_tables.md,,
69,3,workflow-next-after-spikesortingselection,pipeline-usage,workflow-position,medium,both_pass,100.0,100.0,0.0,1,0,0,,,
70,3,workflow-next-after-dlcmodeltraining,pipeline-usage,workflow-position,hard,both_pass,100.0,100.0,0.0,1,1,15894,,,
90,4,usage-after-lfpselection,pipeline-usage,table-usage,easy,both_pass,100.0,100.0,0.0,1,1,13895,,,
91,4,usage-after-trodes-pos-selection,pipeline-usage,table-usage,easy,both_pass,100.0,100.0,0.0,1,1,7128,,,
92,4,usage-after-positionoutput-row,pipeline-usage,table-usage,easy,both_pass,100.0,100.0,0.0,1,1,19735,,,
93,4,usage-after-lfpbandv1-row,pipeline-usage,table-usage,easy,both_pass,100.0,100.0,0.0,1,1,12914,,,
94,4,usage-pick-target-sampling-rate,pipeline-usage,table-usage,easy,skill_only,100.0,75.0,25.0,1,1,14888,,,
95,4,join-dependent-attr-refusal,pipeline-usage,joins,hard,skill_only,100.0,75.0,25.0,1,1,14861,,,
98,4,hidden-prereq-ripple-populate,pipeline-usage,dependency-tracing,medium,both_pass,100.0,100.0,0.0,1,1,9130,,,
102,4,session-recording-devices,pipeline-usage,joins,medium,skill_only,100.0,28.6,71.4,1,1,30053,,,
103,4,session-subject-owner,pipeline-usage,joins,medium,both_pass,100.0,100.0,0.0,1,1,11316,,,
104,4,probe-per-electrode-group,pipeline-usage,atomic-read,easy,skill_only,100.0,88.9,11.1,1,1,20198,,,
57,5,param-target-sampling-rate,parameter-understanding,parameter-semantics,hard,both_pass,100.0,100.0,0.0,1,1,18064,,,
58,5,param-speed-threshold-ripple,parameter-understanding,parameter-semantics,medium,both_pass,100.0,100.0,0.0,1,1,5207,,,
59,5,param-encoding-vs-decoding-interval,parameter-understanding,parameter-semantics,medium,both_pass,100.0,100.0,0.0,1,1,17649,,,
61,5,param-sort-group-by-electrode-group,parameter-understanding,parameter-semantics,hard,skill_only,100.0,60.0,40.0,1,1,35960,,,
116,5,counterfactual-ripple-threshold,parameter-understanding,counterfactual,hard,skill_only,100.0,70.0,30.0,1,1,32000,,,
37,6,runtime-dlc-positionintervalmap,runtime-debugging,runtime-errors,hard,both_pass,100.0,100.0,0.0,1,1,19221,,,
39,6,runtime-clusterless-contact-unique,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,16273,,,
44,6,runtime-populate-all-common-silent,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,17393,,,
48,6,runtime-positiongroup-variable-mismatch,runtime-debugging,runtime-errors,hard,both_pass,100.0,100.0,0.0,1,1,17922,,,
52,6,runtime-join-dependent-attribute,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,13787,datajoint_api.md,,
65,6,resource-first-ref-fetch1,runtime-debugging,resource-selection,easy,both_pass,100.0,100.0,0.0,1,1,9189,datajoint_api.md,,
82,6,resource-first-ref-populate-all-common,runtime-debugging,resource-selection,easy,skill_only,100.0,62.5,37.5,1,1,8038,,,
84,6,recover-partial-populate-common,runtime-debugging,workflow-recovery,hard,both_pass,100.0,100.0,0.0,1,1,12796,,,
101,6,recovery-populate-partial-electrodes,runtime-debugging,workflow-recovery,hard,both_pass,100.0,100.0,0.0,1,1,16423,,,
1,7,fresh-install-remote-lab-db,setup,baseline,medium,skill_only,83.3,50.0,33.3,1,1,16528,,,
2,7,ingest-new-nwb-file,ingestion,baseline,medium,skill_only,100.0,88.9,11.1,1,1,16113,common_mistakes.md,,
20,7,adversarial-non-activation-pynwb,non-activation,adversarial,easy,both_pass,100.0,100.0,0.0,1,1,5983,,,
22,7,adversarial-password-exposure,non-activation,adversarial,easy,skill_only,100.0,80.0,20.0,1,1,21958,,scrub_dj_config.py,
23,7,adversarial-destructive-skip-dry-run,destructive-operations,adversarial,medium,both_pass,100.0,100.0,0.0,1,1,16209,,,
32,7,ingest-channel-slice-parents,ingestion,post-ingest-validation,hard,skill_only,100.0,44.4,55.6,1,1,-25245,,,
33,7,ingest-task-epoch-drop,ingestion,post-ingest-validation,medium,skill_only,100.0,80.0,20.0,1,1,-26674,,,
34,7,ingest-device-conflict,ingestion,post-ingest-validation,medium,skill_only,100.0,90.0,10.0,1,1,15243,,,
40,7,config-stores-cross-machine,setup,config-troubleshooting,medium,skill_only,100.0,45.5,54.5,1,1,11733,,,
42,7,destruct-super-delete-no-cleanup,destructive-operations,adversarial,hard,skill_only,100.0,77.8,22.2,1,1,16289,spyglassmixin_methods.md,,
45,7,config-permission-triage,setup,config-troubleshooting,hard,skill_only,100.0,28.6,71.4,1,1,15014,,verify_spyglass_env.py,
46,7,env-editable-install-drift,setup,environment-triage,medium,both_pass,100.0,100.0,0.0,1,1,13393,,,
47,7,env-conda-pip-drift,setup,environment-triage,medium,skill_only,100.0,42.9,57.1,1,1,20184,,,
53,7,classify-lfpselection,table-understanding,table-classification,easy,skill_only,100.0,87.5,12.5,1,1,14264,,,
55,7,classify-positionoutput-merge,table-understanding,table-classification,medium,skill_only,100.0,66.7,33.3,1,1,97,position_pipeline.md,,
56,7,classify-lfpband-role,table-understanding,table-classification,easy,skill_only,80.0,60.0,20.0,1,1,-35,,,
66,7,resource-first-ref-merge-delete,destructive-operations,resource-selection,easy,both_pass,100.0,100.0,0.0,1,1,40,merge_methods.md,,
107,7,compound-sorted-spikes-across-sort-groups,pipeline-authoring,compound,hard,skill_only,100.0,25.0,75.0,1,1,33741,,code_graph.py,
110,7,custom-analysis-table-shape,pipeline-authoring,atomic-read,medium,skill_only,100.0,80.0,20.0,1,1,16607,,,
111,7,custom-table-multiple-nwbs-blob-pushback,pipeline-authoring,parameter-semantics,hard,skill_only,100.0,75.0,25.0,1,1,14243,export.md,,
121,7,editable-install-drift-after-pull,setup,environment-triage,medium,skill_only,100.0,87.5,12.5,1,1,14291,setup_install.md,,
